name,time,Kd,Ki,Kp,value
co2_start_at_03,1695747160843601036,0,0,0.07,973.1666666666666
co2_start_at_03,1695747181390923065,0,0,0.07,984.5
co2_start_at_03,1695747201937242505,0,0,0.07,1003.8333333333334
co2_start_at_03,1695747222245352780,0,0,0.07,1031
co2_start_at_03,1695747242808004884,0,0,0.07,1039.6666666666667
co2_start_at_03,1695747263318485847,0,0,0.07,1080.1666666666667
co2_start_at_03,1695747283654254415,0,0,0.07,1106.1666666666667
co2_start_at_03,1695747303914015813,0,0,0.07,1094.6666666666667
co2_start_at_03,1695747324166170589,0,0,0.07,1094.3333333333333
co2_start_at_03,1695747344424438706,0,0,0.07,1091.6666666666667
co2_start_at_03,1695747364684302186,0,0,0.07,1102.6666666666667
co2_start_at_03,1695747384944173277,0,0,0.07,1077.6666666666667
co2_start_at_03,1695747405194198325,0,0,0.07,1060.5
co2_start_at_03,1695747425453901024,0,0,0.07,1043.3333333333333
co2_start_at_03,1695747445644298135,0,0,0.07,1052
co2_start_at_03,1695747465904182878,0,0,0.07,1019.1666666666666
co2_start_at_03,1695747486236356905,0,0,0.07,1010
co2_start_at_03,1695747506790669342,0,0,0.07,1002.5
co2_start_at_03,1695747527307217523,0,0,0.07,992.1666666666666
co2_start_at_03,1695747547846964408,0,0,0.07,982.1666666666666
co2_start_at_03,1695747568420919178,0,0,0.07,978.3333333333334
co2_start_at_03,1695747588904238148,0,0,0.07,976.8333333333334
co2_start_at_03,1695747609164336414,0,0,0.07,974.6666666666666
co2_start_at_03,1695747629350119903,0,0,0.07,989.1666666666666
co2_start_at_03,1695747649881697767,0,0,0.07,973.6666666666666
co2_start_at_03,1695747670424983924,0,0,0.07,978
co2_start_at_03,1695747690905934223,0,0,0.07,984.1666666666666
co2_start_at_03,1695747711194278930,0,0,0.07,991.8333333333334
co2_start_at_03,1695747731474214273,0,0,0.07,999.8333333333334
co2_start_at_03,1695747751947823278,0,0,0.07,1008.8333333333334
co2_start_at_03,1695747772214186839,0,0,0.07,1015
co2_start_at_03,1695747792577974337,0,0,0.07,1020.3333333333334
co2_start_at_03,1695747813110999139,0,0,0.07,1023.6666666666666
co2_start_at_03,1695747833618876051,0,0,0.07,1023.3333333333334
co2_start_at_03,1695747854206600935,0,0,0.07,1021.6666666666666
co2_start_at_03,1695747874668670614,0,0,0.08,1004.3333333333334
co2_start_at_03,1695747895188703599,0,0,0.08,1018.3333333333334
co2_start_at_03,1695747915686941488,0,0,0.08,1010.5
co2_start_at_03,1695747936227527856,0,0,0.08,1000.6666666666666
co2_start_at_03,1695747956750888862,0,0,0.08,995
co2_start_at_03,1695747977298363811,0,0,0.08,989.5
